change_event.change_date_time,change_event.user_email,change_event.change_resource_type,change_event.resource_change_operation,change_event.client_type,campaign.name,ad_group.name,change_event.change_resource_name,change_event.old_resource,change_event.new_resource,ad_group.resource_name,campaign.resource_name,change_event.changed_fields.paths,change_event.resource_name
2026-07-23 11:11:54.116687,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I DE I DACH I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,DYN I BROAD I HOME,customers/3599116618/adGroups/143972433288,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}&utm_source=google&utm_medium=search&utm_campaign=EXIENIUSITOFIBROADIPURIT-CPAIIBROADINOPROMOIKOLLEKTIONENTYPES""}}","{""ad_group"":{}}",customers/3599116618/adGroups/143972433288,customers/3599116618/campaigns/17630302011,tracking_url_template,customers/3599116618/changeEvents/1784797914116687~0~0
2026-07-23 11:11:50.504655,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types EX I Keyword Options Final Test,DYN I BROAD I HOME,customers/3599116618/adGroups/153203976647,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}&utm_source=google&utm_medium=search&utm_campaign=EXIENIUSITOFIBROADIPURIT-CPAIIBROADINOPROMOIKOLLEKTIONENTYPES""}}","{""ad_group"":{}}",customers/3599116618/adGroups/153203976647,customers/3599116618/campaigns/20186748653,tracking_url_template,customers/3599116618/changeEvents/1784797910504655~0~0
2026-07-23 11:11:45.689775,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX | DE | SEARCH | BRAND,DE | STAND | BRAND,customers/3599116618/adGroups/154641754033,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/154641754033,customers/3599116618/campaigns/20520677694,tracking_url_template,customers/3599116618/changeEvents/1784797905689775~0~0
2026-07-23 11:11:41.842559,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),customers/3599116618/adGroups/154062129540,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/154062129540,customers/3599116618/campaigns/20520677694,tracking_url_template,customers/3599116618/changeEvents/1784797901842559~0~0
2026-07-23 11:11:37.733311,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DSA I FC'S I CAT'S,BROAD I STAN I Sweaters,customers/3599116618/adGroups/136874058205,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/136874058205,customers/3599116618/campaigns/17655205884,tracking_url_template,customers/3599116618/changeEvents/1784797897733311~0~0
2026-07-23 11:11:34.039823,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DSA I FC'S I CAT'S,BROAD I STAN I Shirts,customers/3599116618/adGroups/141337937031,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/141337937031,customers/3599116618/campaigns/17655205884,tracking_url_template,customers/3599116618/changeEvents/1784797894039823~0~0
2026-07-23 11:11:30.181839,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DSA I FC'S I CAT'S,BROAD I STAN I Longsleeve,customers/3599116618/adGroups/139385616398,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/139385616398,customers/3599116618/campaigns/17655205884,tracking_url_template,customers/3599116618/changeEvents/1784797890181839~0~0
2026-07-23 11:11:26.682175,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I DE I DACH I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,BROAD I STAN I HOME,customers/3599116618/adGroups/138848118656,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}&utm_source=google&utm_medium=search&utm_campaign=EXIENIUSITOFIBROADIPURIT-CPAIIBROADINOPROMOIKOLLEKTIONENTYPES""}}","{""ad_group"":{}}",customers/3599116618/adGroups/138848118656,customers/3599116618/campaigns/17630302011,tracking_url_template,customers/3599116618/changeEvents/1784797886682175~0~0
2026-07-23 11:11:23.076207,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I DE I DACH I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types Exact Match vs Broad - DE I DACH I SEARCH,BROAD I STAN I HOME,customers/3599116618/adGroups/142337961499,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/142337961499,customers/3599116618/campaigns/18521121829,tracking_url_template,customers/3599116618/changeEvents/1784797883076207~0~0
2026-07-23 11:11:19.204991,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I DE I DACH I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types EX I KEYWORD TESTING II  Empfehlungen (Test),BROAD I STAN I HOME,customers/3599116618/adGroups/142851960453,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}&utm_source=google&utm_medium=search&utm_campaign=EXIENIUSITOFIBROADIPURIT-CPAIIBROADINOPROMOIKOLLEKTIONENTYPESTESTING""}}","{""ad_group"":{}}",customers/3599116618/adGroups/142851960453,customers/3599116618/campaigns/18791231470,tracking_url_template,customers/3599116618/changeEvents/1784797879204991~0~0
2026-07-23 11:11:15.487039,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DSA I FC'S I CAT'S,BROAD I STAN I Headwear,customers/3599116618/adGroups/135355520781,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/135355520781,customers/3599116618/campaigns/17655205884,tracking_url_template,customers/3599116618/changeEvents/1784797875487039~0~0
2026-07-23 11:11:11.520511,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DSA I FC'S I CAT'S,BROAD I DYN I Kategorie,customers/3599116618/adGroups/146950196628,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/146950196628,customers/3599116618/campaigns/17655205884,tracking_url_template,customers/3599116618/changeEvents/1784797871520511~0~0
2026-07-23 11:11:05.846975,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #2,Black Week,customers/3599116618/adGroups/181388156390,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/181388156390,customers/3599116618/campaigns/22410839902,tracking_url_template,customers/3599116618/changeEvents/1784797865846975~0~0
2026-07-23 11:11:02.817119,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #3,Black Week,customers/3599116618/adGroups/190607842967,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/190607842967,customers/3599116618/campaigns/23125747679,tracking_url_template,customers/3599116618/changeEvents/1784797862817119~0~0
2026-07-23 11:10:58.287311,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX | EN | WW | DEMAND GEN | TEST,BFCM 24,customers/3599116618/adGroups/172570408953,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/172570408953,customers/3599116618/campaigns/20547349641,tracking_url_template,customers/3599116618/changeEvents/1784797858287311~0~0
2026-07-23 11:10:55.367391,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX | EN | WW | DEMAND GEN | TEST,Audience based on past performance,customers/3599116618/adGroups/159185448128,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/159185448128,customers/3599116618/campaigns/20547349641,tracking_url_template,customers/3599116618/changeEvents/1784797855367391~0~0
2026-07-23 11:10:51.605391,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DG I INTRA-DAY OFFER,4F3 Shirt Offer,customers/3599116618/adGroups/181957561130,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/181957561130,customers/3599116618/campaigns/23114698978,tracking_url_template,customers/3599116618/changeEvents/1784797851605391~0~0
2026-07-17 12:46:36.970486,exmachina.agency@gmail.com,CAMPAIGN_BUDGET,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,,customers/3599116618/campaignBudgets/11274223183,"{""campaign_budget"":{""amount_micros"":120000000}}","{""campaign_budget"":{""amount_micros"":185010000}}",,customers/3599116618/campaigns/17820068572,amount_micros,customers/3599116618/changeEvents/1784285196970486~0~0
2026-07-17 12:46:24.917963,exmachina.agency@gmail.com,CAMPAIGN_BUDGET,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I PMAX I SCALING I FEED ONLY I PROSPECTING,,customers/3599116618/campaignBudgets/13464883348,"{""campaign_budget"":{""amount_micros"":880000000}}","{""campaign_budget"":{""amount_micros"":1250000000}}",,customers/3599116618/campaigns/21137012770,amount_micros,customers/3599116618/changeEvents/1784285184917963~0~0
